LOCUS_NAME	PHENOTYPE	Term	Label
AT1G69640	"Dwarf plants with reduced vigor, dies before expansion of the true leaves, necrotic lesions on cotyledons. When grew on agar plates, the double mutants displayed extended viability and developed into compact and epinastic rosette with small curled leaves and short petioles, however no bolting. Short roots on agar plate."	TO:0002681	leaf curling
AT1G69640	"Dwarf plants with reduced vigor, dies before expansion of the true leaves, necrotic lesions on cotyledons. When grew on agar plates, the double mutants displayed extended viability and developed into compact and epinastic rosette with small curled leaves and short petioles, however no bolting. Short roots on agar plate."	TO:0000652	leaf necrosis
AT1G69640	"Dwarf plants with reduced vigor, dies before expansion of the true leaves, necrotic lesions on cotyledons. When grew on agar plates, the double mutants displayed extended viability and developed into compact and epinastic rosette with small curled leaves and short petioles, however no bolting. Short roots on agar plate."	TO:0000227	root length
AT1G21790	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0.heat:no change,cold:no change,oxidative stress:no change,osmotic stress:increased,salt stress:increased,ABA:no change,hypoxia:ND."	TO:0000095	osmotic response sensitivity
AT1G21790	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0.heat:no change,cold:no change,oxidative stress:no change,osmotic stress:increased,salt stress:increased,ABA:no change,hypoxia:ND."	TO:0000429	salt sensitivity
AT1G34190	Shorter root length; reduced hypocotyl length after exposure of AA.	TO:0000227	root length
AT1G34190	Shorter root length; reduced hypocotyl length after exposure of AA.	TO:0006065	seedling hypocotyl length
AT3G52500	"Heterozygotes show no obvious growth phenotype.  Homozygotes are embryo lethal with a very early arrest of embryo development, in the pre-globular stage of development."	TO:0000620	plant embryo development trait
AT1G60200	"Low GFP protein levels relative to wild-type T line (CS69640) due to reduced splicing efficiency of GFP pre-mRNA. Small, more spindly, somewhat yellowish plants and reduced seed set compared to CS69640."	TO:0000361	stem morphology trait
AT1G60200	"Low GFP protein levels relative to wild-type T line (CS69640) due to reduced splicing efficiency of GFP pre-mRNA. Small, more spindly, somewhat yellowish plants and reduced seed set compared to CS69640."	TO:0000708	plant color
AT1G60200	"Low GFP protein levels relative to wild-type T line (CS69640) due to reduced splicing efficiency of GFP pre-mRNA. Small, more spindly, somewhat yellowish plants and reduced seed set compared to CS69640."	TO:0000905	seed yield trait
AT1G55500	increased number of trichome branches; reduced root slanting	TO:0000911	trichome morphology trait
AT1G55500	increased number of trichome branches; reduced root slanting	TO:0002693	gravity response trait
AT1G55500	increased number of trichome branches; reduced root slanting	TO:0002652	root phototropism response trait
AT5G19040	Decreased levels of isopentenyladenosine riboside (iPR) and isopentenyladenosine monophosphate (iPRMP) compared to wild type.	TO:0000674	phytochemical compound content
AT5G19040	Decreased levels of isopentenyladenosine riboside (iPR) and isopentenyladenosine monophosphate (iPRMP) compared to wild type.	TO:0002660	cytokinin content
AT4G09020	No significant alteration of amylase-to-amylopectine ratio.	NA	NA
AT2G42200	"Delayed vegetative phase change, increased rate of leaf initiation, increased anthocyanin production, thin inforescence stem."	TO:0000933	plant phenological trait
AT2G42200	"Delayed vegetative phase change, increased rate of leaf initiation, increased anthocyanin production, thin inforescence stem."	TO:0000369	vegetative growth time
AT2G42200	"Delayed vegetative phase change, increased rate of leaf initiation, increased anthocyanin production, thin inforescence stem."	TO:0000071	anthocyanin content
AT2G42200	"Delayed vegetative phase change, increased rate of leaf initiation, increased anthocyanin production, thin inforescence stem."	TO:0000784	inflorescence primary branch morphology trait
AT5G61770	Reduced fertility. Reduced transmission in both male and female gametes. Gametogenesis is delayed in both male and female sides.	TO:0000420	fertility related trait
AT2G03070	"Pollen is wild type in appearance, but in vitro pollen tube growth is  reduced."	TO:0000420	fertility related trait
AT2G40940	"long roots and reduction in root hairs when grown on media supplemented with methyl jasmonate and ACC; fails to produce pollen at 22C, but is fertile at 16C."	TO:0000172	jasmonic acid sensitivity
AT2G40940	"long roots and reduction in root hairs when grown on media supplemented with methyl jasmonate and ACC; fails to produce pollen at 22C, but is fertile at 16C."	TO:0000173	ethylene sensitivity
AT2G40940	"long roots and reduction in root hairs when grown on media supplemented with methyl jasmonate and ACC; fails to produce pollen at 22C, but is fertile at 16C."	TO:0001051	root hair density
AT2G40940	"long roots and reduction in root hairs when grown on media supplemented with methyl jasmonate and ACC; fails to produce pollen at 22C, but is fertile at 16C."	TO:0000227	root length
AT2G40940	"long roots and reduction in root hairs when grown on media supplemented with methyl jasmonate and ACC; fails to produce pollen at 22C, but is fertile at 16C."	TO:0000067	genic male sterility-thermo sensitive
AT1G78570	"A detailed analysis of the rol1-2 mutants show aberrant cotyledon development with an uneven  surface and hyponastic growth, aberrant pavement cell and stomatal morphology in cotyledons, and defective trichome formation. Further the typical jigsaw puzzle-like cell shape of pavement cells was absent in rol1-2 mutants."	TO:0000774	seedling cotyledon morphology trait
AT1G78570	"A detailed analysis of the rol1-2 mutants show aberrant cotyledon development with an uneven  surface and hyponastic growth, aberrant pavement cell and stomatal morphology in cotyledons, and defective trichome formation. Further the typical jigsaw puzzle-like cell shape of pavement cells was absent in rol1-2 mutants."	TO:0000911	trichome morphology trait
AT1G32770	"Under short-day conditions, the nst1-1 nst3-1 plants were no longer able to remain upright when they reached >15cm in height neither lignin nor cellulose, which constitute secondary walls, was produced in inflorescence stems of nst1-1 nst3-1 plants,"	TO:0000733	lignin biosynthesis trait
AT1G32770	"Under short-day conditions, the nst1-1 nst3-1 plants were no longer able to remain upright when they reached >15cm in height neither lignin nor cellulose, which constitute secondary walls, was produced in inflorescence stems of nst1-1 nst3-1 plants,"	TO:0000993	cellulose content
AT1G32770	"Under short-day conditions, the nst1-1 nst3-1 plants were no longer able to remain upright when they reached >15cm in height neither lignin nor cellulose, which constitute secondary walls, was produced in inflorescence stems of nst1-1 nst3-1 plants,"	TO:0000051	stem strength
AT1G06780	"Homozygous triple mutant: seed failed to be produced, indicating that male gametophytic transmissiong through mutant pollen is inhibited during cross pollination, confirming a role of all three genes in male fertility. Heterozygous triple mutant: most pollen does not germinate, nearly half of pollen that does germinate diplays bursting tubes."	TO:0000421	pollen fertility
AT1G66170	Male sterile.	TO:0000437	male sterility
AT4G17250	Heterozygotes have short siliques and reduced number of seeds. Some embryos are also abnormally shaped.	TO:0001086	silique fruit morphology trait
AT4G17250	Heterozygotes have short siliques and reduced number of seeds. Some embryos are also abnormally shaped.	TO:0000445	fruit seed number
AT4G17250	Heterozygotes have short siliques and reduced number of seeds. Some embryos are also abnormally shaped.	TO:0000193	plant embryo shape
AT1G56580	small trichomes with variable branches	TO:0000911	trichome morphology trait
AT1G15270	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0. heat:increased,cold:no change,oxidative stress:decreased,osmotic stress:no change,salt stress:decreased,ABA:no change,hypoxia:no change."	TO:0000432	temperature response trait
AT1G15270	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0. heat:increased,cold:no change,oxidative stress:decreased,osmotic stress:no change,salt stress:decreased,ABA:no change,hypoxia:no change."	TO:0002657	oxidative stress
AT1G15270	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0. heat:increased,cold:no change,oxidative stress:decreased,osmotic stress:no change,salt stress:decreased,ABA:no change,hypoxia:no change."	TO:0000429	salt sensitivity
PDE203	pigment defective embryo; pale mature embryo.	TO:0000980	plant embryo cotyledon color
AT4G34050	Increased saccharifcation yield and enzymatic hydrolysis efciency.	TO:0000489	carbohydrate composition related trait
AT2G42790	Dormant seeds.  Lack peroxisomal citrate synthase.  Cannot mobilize triacyglycerols due to a block in fatty acid beta-oxidation.	TO:0000345	seed viability
AT2G42790	Dormant seeds.  Lack peroxisomal citrate synthase.  Cannot mobilize triacyglycerols due to a block in fatty acid beta-oxidation.	TO:0000491	fat and essential oil composition related trait
AT1G23420	"Strong allele; ovule defective; outer integument fails to initiate on the abaxial side of the ovule, subsequent outer integument development is not observed, a protuberance appears on the adaxial side of the ovule and undergoes limited expansion; essentially female sterile; no visible alterations in other aspects of ovule, flower or vegetative development"	TO:0000358	female sterility
AT4G19660	elevated levels of Pathogenesis-related (PR) genes; enhanced resistance against virulent pathogens	TO:0000112	microbial disease response
CER14	"bright green stems and siliques, number of lobed plates similar to wild type but reduced relative number of tube-shaped structures on the epicuticular wax layer, slender appearance, somewhat club-like siliques."	TO:0000056	stem color
CER14	"bright green stems and siliques, number of lobed plates similar to wild type but reduced relative number of tube-shaped structures on the epicuticular wax layer, slender appearance, somewhat club-like siliques."	TO:0002617	fruit color
CER14	"bright green stems and siliques, number of lobed plates similar to wild type but reduced relative number of tube-shaped structures on the epicuticular wax layer, slender appearance, somewhat club-like siliques."	TO:0000709	leaf gloss
CER14	"bright green stems and siliques, number of lobed plates similar to wild type but reduced relative number of tube-shaped structures on the epicuticular wax layer, slender appearance, somewhat club-like siliques."	TO:0001086	silique fruit morphology trait
AT3G48610	Gametophyte lethal. Pollen development arrests as mitosis I. Reduced transmission in both reciprocal crosses. Male and female gametophyte lethality.	TO:0000053	pollen sterility
AT3G48610	Gametophyte lethal. Pollen development arrests as mitosis I. Reduced transmission in both reciprocal crosses. Male and female gametophyte lethality.	TO:0000437	male sterility
AT3G48610	Gametophyte lethal. Pollen development arrests as mitosis I. Reduced transmission in both reciprocal crosses. Male and female gametophyte lethality.	TO:0000358	female sterility
AT3G18780	"Impaired root hair development; the site selection of the initial bulge, the positioning of the tip-growth machinery at the bulge, and the process of tip growth per se are affected; displays a weak phenotype with the lower one-half of the root hair proper being enlarged, whereas the upper one-half of the root hair seemed to develop normally; root hairs are consistently shorter than in wild type; the initiating bulge forms sometimes rather in the middle than at the distal end of the trichoblast cell; a thin root hair without an enlarged basis can be developed; structure of these root hairs is irregular with a varying diameter; in an alternate manner, the lower one-half of the root hair was strongly enlarged, whereas the upper part was thinner but again very irregular; very often, the enlarged part of the root hair formed, but did not develop further, resulting in a stump-like structure; in some cases, two root hairs developed from the initial bulge; many times, the initially restricted area of bulge formation grew bigger along the epidermal surface of the trichoblast, and tip growth seemed to initiate at two different positions, although it did not proceed any further."	TO:0002665	root hair length
AT3G62810	Downward-curled leaf margins.	TO:0002681	leaf curling
AT1G17290	"plants appear normal under normal growth conditions. When grown on low-nitrogen medium with alanine supplementation, the mutant plants showed reduced growth."	TO:0000011	nitrogen sensitivity
AT1G17920	"Reduced LAS (LATERAL SUPPRESSOR) expression, defective cotyledon development with incomplete penetrance, including tricots and partially fused cotyledons. Alterations of leaf phyllotaxy and sometimes leaf fusion."	TO:0000774	seedling cotyledon morphology trait
AT1G17920	"Reduced LAS (LATERAL SUPPRESSOR) expression, defective cotyledon development with incomplete penetrance, including tricots and partially fused cotyledons. Alterations of leaf phyllotaxy and sometimes leaf fusion."	TO:0006014	phyllotaxy
AT1G17920	"Reduced LAS (LATERAL SUPPRESSOR) expression, defective cotyledon development with incomplete penetrance, including tricots and partially fused cotyledons. Alterations of leaf phyllotaxy and sometimes leaf fusion."	TO:0000829	leaf lamina morphology trait
AT2G02810	"ER-derived vesicles obtained from atutr1 plants had a decreased uptake of UDP-glucose compared to the wild type. BiP and Calnexin are overexpressed in the mutant, suggesting that atutr1 plants have the unfolded protein response constitutively activated."	NA	NA
AT1G08297	Lower leaf temperature due to higher transpiration; less CAR9 protein accumulated and more  ubiquitinated; hyposensitive to ABA; sensitive to drought stress.	TO:0000504	leaf temperature
AT1G08297	Lower leaf temperature due to higher transpiration; less CAR9 protein accumulated and more  ubiquitinated; hyposensitive to ABA; sensitive to drought stress.	TO:0000188	drought sensitivity
AT1G08297	Lower leaf temperature due to higher transpiration; less CAR9 protein accumulated and more  ubiquitinated; hyposensitive to ABA; sensitive to drought stress.	TO:0001018	transpiration rate
AT1G08297	Lower leaf temperature due to higher transpiration; less CAR9 protein accumulated and more  ubiquitinated; hyposensitive to ABA; sensitive to drought stress.	TO:0000615	abscisic acid sensitivity
AT2G26330	"Strong allele; altered organ shape, affecting the development of leaves, inflorescences, flowers and siliques expressed throughout much of the plant's life; compared to Ws wild type rounder cotyledons and leaves, shorter petioles, shorter and wider flowers borne on shorter pedicels, flowers are clustered at the top of the inflorescence, shorter and wider siliques that have a blunt tip, shorter and wider inflorescence stems, compact inflorescence."	TO:0000749	cotyledon morphology trait
AT2G26330	"Strong allele; altered organ shape, affecting the development of leaves, inflorescences, flowers and siliques expressed throughout much of the plant's life; compared to Ws wild type rounder cotyledons and leaves, shorter petioles, shorter and wider flowers borne on shorter pedicels, flowers are clustered at the top of the inflorescence, shorter and wider siliques that have a blunt tip, shorter and wider inflorescence stems, compact inflorescence."	TO:0000800	inflorescence density
AT2G26330	"Strong allele; altered organ shape, affecting the development of leaves, inflorescences, flowers and siliques expressed throughout much of the plant's life; compared to Ws wild type rounder cotyledons and leaves, shorter petioles, shorter and wider flowers borne on shorter pedicels, flowers are clustered at the top of the inflorescence, shorter and wider siliques that have a blunt tip, shorter and wider inflorescence stems, compact inflorescence."	TO:0001086	silique fruit morphology trait
AT2G26330	"Strong allele; altered organ shape, affecting the development of leaves, inflorescences, flowers and siliques expressed throughout much of the plant's life; compared to Ws wild type rounder cotyledons and leaves, shorter petioles, shorter and wider flowers borne on shorter pedicels, flowers are clustered at the top of the inflorescence, shorter and wider siliques that have a blunt tip, shorter and wider inflorescence stems, compact inflorescence."	TO:0000859	flower shape
AT2G26330	"Strong allele; altered organ shape, affecting the development of leaves, inflorescences, flowers and siliques expressed throughout much of the plant's life; compared to Ws wild type rounder cotyledons and leaves, shorter petioles, shorter and wider flowers borne on shorter pedicels, flowers are clustered at the top of the inflorescence, shorter and wider siliques that have a blunt tip, shorter and wider inflorescence stems, compact inflorescence."	TO:0000492	leaf shape
AT2G26330	"Strong allele; altered organ shape, affecting the development of leaves, inflorescences, flowers and siliques expressed throughout much of the plant's life; compared to Ws wild type rounder cotyledons and leaves, shorter petioles, shorter and wider flowers borne on shorter pedicels, flowers are clustered at the top of the inflorescence, shorter and wider siliques that have a blunt tip, shorter and wider inflorescence stems, compact inflorescence."	TO:0001072	inflorescence axis length
AT2G26330	"Strong allele; altered organ shape, affecting the development of leaves, inflorescences, flowers and siliques expressed throughout much of the plant's life; compared to Ws wild type rounder cotyledons and leaves, shorter petioles, shorter and wider flowers borne on shorter pedicels, flowers are clustered at the top of the inflorescence, shorter and wider siliques that have a blunt tip, shorter and wider inflorescence stems, compact inflorescence."	TO:0000630	pedicel length
AT2G26330	"Strong allele; altered organ shape, affecting the development of leaves, inflorescences, flowers and siliques expressed throughout much of the plant's life; compared to Ws wild type rounder cotyledons and leaves, shorter petioles, shorter and wider flowers borne on shorter pedicels, flowers are clustered at the top of the inflorescence, shorter and wider siliques that have a blunt tip, shorter and wider inflorescence stems, compact inflorescence."	TO:0000766	petiole length
AT4G05530	"The ibr1 mutants are resistant to the inhibitory effects of indole-3-butyric acid on root elongation, but their roots show the normal response to indole-3-acetic acid."	TO:0000043	root morphology trait
AT4G05530	"The ibr1 mutants are resistant to the inhibitory effects of indole-3-butyric acid on root elongation, but their roots show the normal response to indole-3-acetic acid."	TO:0000163	auxin sensitivity
AT5G03730	"Constitutive ethylene response phenotype. Small rosette leaves and inflorescence, delayed bolting, infertile early flowers, reduced root growth."	TO:0000173	ethylene sensitivity
AT5G03730	"Constitutive ethylene response phenotype. Small rosette leaves and inflorescence, delayed bolting, infertile early flowers, reduced root growth."	TO:0000985	root system morphology trait
AT5G03730	"Constitutive ethylene response phenotype. Small rosette leaves and inflorescence, delayed bolting, infertile early flowers, reduced root growth."	TO:0002637	leaf size
AT5G03730	"Constitutive ethylene response phenotype. Small rosette leaves and inflorescence, delayed bolting, infertile early flowers, reduced root growth."	TO:0006021	vegetative to reproductive phase transition trait
AT5G03730	"Constitutive ethylene response phenotype. Small rosette leaves and inflorescence, delayed bolting, infertile early flowers, reduced root growth."	TO:0006031	inflorescence size
AT1G32340	increased sensitivity to exogenous JA; constitutive short-root phenotype; constitutive growth-defense antagonism (elevated defense traits and reduced growth); delayed time to bolting	TO:0000172	jasmonic acid sensitivity
AT1G32340	increased sensitivity to exogenous JA; constitutive short-root phenotype; constitutive growth-defense antagonism (elevated defense traits and reduced growth); delayed time to bolting	TO:0000227	root length
AT1G32340	increased sensitivity to exogenous JA; constitutive short-root phenotype; constitutive growth-defense antagonism (elevated defense traits and reduced growth); delayed time to bolting	TO:0006021	vegetative to reproductive phase transition trait
AT2G23070	Delayed flowering under long days.	TO:0000934	photoperiod-sensitive flowering time trait
AT5G40280	ABA hypersensitivity of guard cell anion-channel activation and stomal closing	TO:0000615	abscisic acid sensitivity
AT5G40280	ABA hypersensitivity of guard cell anion-channel activation and stomal closing	TO:0000520	stomatal complex closure rate
AT5G05170	"Gametophytic lethal. 50% pollen grains from the heterozygous plants are significantly deformed, without pollen tube formation."	TO:0000053	pollen sterility
AT1G55320	"Resistant to (root elongation on) 2,4-dichlorobutyric acid"	TO:0000482	chemical stress sensitivity
AT2G36390	No starch branching enzyme activity detected.	TO:0000599	enzyme activity trait
AT3G23580	"tso2-1 rnr2a-1 seedlings  did not develop beyond the two- to four-leaf stage. Their SAMs were terminated with callus-like cells, and their leaves exhibited massively. Exhibited significantly increased sensitivity to UV-C light."	TO:0006020	shoot apical meristem development
AT3G23580	"tso2-1 rnr2a-1 seedlings  did not develop beyond the two- to four-leaf stage. Their SAMs were terminated with callus-like cells, and their leaves exhibited massively. Exhibited significantly increased sensitivity to UV-C light."	TO:0000160	UV light sensitivity
AT2G01980	"partial recovery of kea1-1kea2-1 double mutant (CS72318) phenotype (impaired photosynthesis, pale green leaves, stunted growth)"	TO:0000316	photosynthetic ability
AT2G01980	"partial recovery of kea1-1kea2-1 double mutant (CS72318) phenotype (impaired photosynthesis, pale green leaves, stunted growth)"	TO:0000326	leaf color
AT2G01980	"partial recovery of kea1-1kea2-1 double mutant (CS72318) phenotype (impaired photosynthesis, pale green leaves, stunted growth)"	TO:0000947	whole plant growth and development trait
AT1G31050	Decrease in auxin-induced  mitotic activity (metaphase and anaphase cells) of the pericycle.	TO:0000163	auxin sensitivity
AT1G31050	Decrease in auxin-induced  mitotic activity (metaphase and anaphase cells) of the pericycle.	TO:0000043	root morphology trait
AT5G61850	"intermediate/strong allele; early-arising flowers completely transformed into inflorescence shoots, late-arising flowers partially transformed; petals and stamens absent; sterile; more severe phenotype under short days and lower temperature; lacks trichomes on stems and leaves."	TO:0002613	reproductive homeotic development trait
AT5G61850	"intermediate/strong allele; early-arising flowers completely transformed into inflorescence shoots, late-arising flowers partially transformed; petals and stamens absent; sterile; more severe phenotype under short days and lower temperature; lacks trichomes on stems and leaves."	TO:0000229	photoperiod sensitivity trait
AT5G61850	"intermediate/strong allele; early-arising flowers completely transformed into inflorescence shoots, late-arising flowers partially transformed; petals and stamens absent; sterile; more severe phenotype under short days and lower temperature; lacks trichomes on stems and leaves."	TO:0000432	temperature response trait
AT5G61850	"intermediate/strong allele; early-arising flowers completely transformed into inflorescence shoots, late-arising flowers partially transformed; petals and stamens absent; sterile; more severe phenotype under short days and lower temperature; lacks trichomes on stems and leaves."	TO:0006066	leaf trichome density
AT5G61850	"intermediate/strong allele; early-arising flowers completely transformed into inflorescence shoots, late-arising flowers partially transformed; petals and stamens absent; sterile; more severe phenotype under short days and lower temperature; lacks trichomes on stems and leaves."	TO:0000485	sterility related trait
AT3G45610	reduced radial growth	TO:0000361	stem morphology trait
AT5G55590	"Pollen defects, caused by the block in the generative cell division, resulting in the formation of a single sperm-like cells (SSLC) that preferentially fertilize the central cell."	TO:0000421	pollen fertility
AT5G51810	dwarf plants; need GA treatment for germination; late flowering	TO:0000207	plant height
AT5G51810	dwarf plants; need GA treatment for germination; late flowering	TO:0000344	days to flowering trait
AT5G51810	dwarf plants; need GA treatment for germination; late flowering	TO:0000166	gibberellic acid sensitivity
TWN1	"Incomplete penetrance and highly variable phenotype in mutant embryos. About 8 % of seeds contain embryos that display suspensor proliferation or polyembryony;  Some twin embryos are viable and germinate.  In addition to twinning, some embryos show variable defects in the embryo proper early in embryogenesis.  Cotyledon defects are present in about 10% of embryos/seedlings and occur independent of twinning. Defects in cotyledons/leaf organization do not extend into post-embryonic development beyond the first leaf pair. Mutant phenotype(s) appears to be embryo-specific."	TO:0000620	plant embryo development trait
TWN1	"Incomplete penetrance and highly variable phenotype in mutant embryos. About 8 % of seeds contain embryos that display suspensor proliferation or polyembryony;  Some twin embryos are viable and germinate.  In addition to twinning, some embryos show variable defects in the embryo proper early in embryogenesis.  Cotyledon defects are present in about 10% of embryos/seedlings and occur independent of twinning. Defects in cotyledons/leaf organization do not extend into post-embryonic development beyond the first leaf pair. Mutant phenotype(s) appears to be embryo-specific."	TO:0000775	plant embryo cotyledon morphology trait
AT1G64790	Mutant plants are much smaller in size than Col-0 wild type and they have serrated leaves that are yellow to light green  in color. Homozygous mutants are sterile and must be propagated as heterozygotes.	TO:1000012	whole plant size
AT1G64790	Mutant plants are much smaller in size than Col-0 wild type and they have serrated leaves that are yellow to light green  in color. Homozygous mutants are sterile and must be propagated as heterozygotes.	TO:0006063	leaf margin serrated
AT1G64790	Mutant plants are much smaller in size than Col-0 wild type and they have serrated leaves that are yellow to light green  in color. Homozygous mutants are sterile and must be propagated as heterozygotes.	TO:0000326	leaf color
AT1G64790	Mutant plants are much smaller in size than Col-0 wild type and they have serrated leaves that are yellow to light green  in color. Homozygous mutants are sterile and must be propagated as heterozygotes.	TO:0000485	sterility related trait
AT2G45400	"organ-elongated phenotypes, with their inflorescences, leaves and petioles all longer than those of wild-type plants"	TO:0000271	inflorescence length
AT2G45400	"organ-elongated phenotypes, with their inflorescences, leaves and petioles all longer than those of wild-type plants"	TO:0000135	leaf length
AT2G45400	"organ-elongated phenotypes, with their inflorescences, leaves and petioles all longer than those of wild-type plants"	TO:0000766	petiole length
AT5G54690	"The double mutants had significantly less xylose compared with the irx8 and irx9 single mutant plants. Whereas irx8 and irx9 contain ~40 to 50% xylose compared with the wild type, the double mutant contained only ~20% xylose compared with wild-type plants."	TO:0000333	sugar content
AT1G79940	"Reduced transmission through pollen. Pollen grains are viable, but pollen germination is aberrant. Homozygotes cannot be recovered."	TO:0000053	pollen sterility
AT4G24390	root elongation is less inhibited by auxin compared to WT Col-0; lateral root production is substantially less stimulated by auxin treatment compared to WT; rosettes are significantly smaller and inflorescences are substantially shorter and substantially more branched than those of WT; some siliques have incomplete valves	TO:0000163	auxin sensitivity
AT4G24390	root elongation is less inhibited by auxin compared to WT Col-0; lateral root production is substantially less stimulated by auxin treatment compared to WT; rosettes are significantly smaller and inflorescences are substantially shorter and substantially more branched than those of WT; some siliques have incomplete valves	TO:0000043	root morphology trait
AT4G24390	root elongation is less inhibited by auxin compared to WT Col-0; lateral root production is substantially less stimulated by auxin treatment compared to WT; rosettes are significantly smaller and inflorescences are substantially shorter and substantially more branched than those of WT; some siliques have incomplete valves	TO:0001086	silique fruit morphology trait
AT4G24390	root elongation is less inhibited by auxin compared to WT Col-0; lateral root production is substantially less stimulated by auxin treatment compared to WT; rosettes are significantly smaller and inflorescences are substantially shorter and substantially more branched than those of WT; some siliques have incomplete valves	TO:0002637	leaf size
AT4G24390	root elongation is less inhibited by auxin compared to WT Col-0; lateral root production is substantially less stimulated by auxin treatment compared to WT; rosettes are significantly smaller and inflorescences are substantially shorter and substantially more branched than those of WT; some siliques have incomplete valves	TO:0000271	inflorescence length
AT4G24390	root elongation is less inhibited by auxin compared to WT Col-0; lateral root production is substantially less stimulated by auxin treatment compared to WT; rosettes are significantly smaller and inflorescences are substantially shorter and substantially more branched than those of WT; some siliques have incomplete valves	TO:0000050	inflorescence branching
AT1G01510	Unbranched trichomes.	TO:0000911	trichome morphology trait
AT3G27920	"extreme hypersensitivity of seedlings and roots to both UV-B and UV-C radiation under nonphotoreactivating conditions but intermediate hypersensitivity under photoreactivating conditions; extreme hypersensitivity of seeds to ionizing radiation; plants show chlorosis, wilting and extensive cell death following exposure of leaves to small acute fluences of UV radiation that does not affect wt plants; irradiation of seeds with gamma rays inhibits the production of the first true leaves at lower doses than required for wt plants; lacks trichomes on stems and leaves, some trichomes in leaf margins."	TO:0000161	radiation response trait
