ID,Class ID,Preferred Label,Synonyms,Definitions
TO:0000590,http://purl.obolibrary.org/obo/TO_0000590,dehulled grain weight,DHULGRWT (related)|GRWT (broad),"A grain weight  which is the weight a dehulled grain (caryopsis fruit;  .|Dehulling is the process of removing the caryopsis hull , which consists of a dried lemma  and a dried palea ."
TO:0000596,http://purl.obolibrary.org/obo/TO_0000596,OBSOLETE plant volume (sensu Poaceae),,OBSOLETE.
TO:0000597,http://purl.obolibrary.org/obo/TO_0000597,plant quality trait,,"A plant trait  that contributes to the overall utility, nutritional, or economic value of a plant, plant structure  or plant product|Quality traits of a plant, plant structure or plant product vary from crop production to food consumption factors and may include organoleptic properties (flavor, aroma, appearance, texture, etc), storability, processing qualities and nutritional aspects. Market quality standards for crops are based on complex interaction of social, economic and biological factors and are highly crop-specific (Acquaah, 2012).Plant traits from other upper level classes may contribute to (as part_of children) to specific plant quality traits."
TO:0000592,http://purl.obolibrary.org/obo/TO_0000592,1000-dehulled grain weight,TDGRWT (related)|thousand grain weight (broad)|thousand dehulled grain weight (exact)|TDHULGRWT (exact),A dehulled grain weight  which is the weight of a sample of 1000 dehulled grains (caryopsis fruit;  .
TO:0000593,http://purl.obolibrary.org/obo/TO_0000593,polished grain weight,PLSGRWT (exact),"A grain weight  which is the weight of a polished grain (caryopsis fruit; .|Polishing removes the bran, which consists of aleurone layer , pericarp;  and the germ (plant embryo; .  In rice, this is what is referred to as 'white rice'."
TO:0000749,http://purl.obolibrary.org/obo/TO_0000749,cotyledon morphology trait,,A vascular leaf morphology trait  which is a quality of a cotyledon .
TO:0000743,http://purl.obolibrary.org/obo/TO_0000743,subterranean shoot axis tuber shape,tuber shape (broad),"A subterranean shoot axis tuber morphology trait  which is the shape of a subterranean  shoot axis tuber .|Refer to shape : A morphological quality inhering in a bearer by virtue of the bearer's ratios of distances between its features (points, edges, surfaces and also holes etc)."
TO:0000745,http://purl.obolibrary.org/obo/TO_0000745,subterranean shoot axis tuber appearance,tuber appearance (broad),"A subterranean shoot axis tuber morphology trait  which is the appearance of a subterranean shoot axis tuber .|A 1-9 scale is used to score the overall appearance of the tuber, with 1 the lowest score (very poor) and 9 the highest (excellent)."
TO:0000744,http://purl.obolibrary.org/obo/TO_0000744,subterranean shoot axis tuber size,tuber size (broad),A subterranean  shoot axis tuber morphology trait  which is the size of a subterranean  shoot axis tuber .|Refer to size : A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.
TO:0000747,http://purl.obolibrary.org/obo/TO_0000747,phyllome morphology trait,,A plant organ morphology trait  which is quality of a phyllome .
TO:0000746,http://purl.obolibrary.org/obo/TO_0000746,subterranean shoot axis tuber mass,tuber mass (broad)|tuber weight (exact),A subterranean shoot axis tuber morphology trait  which is the mass of a subterranean shoot axis tuber .|Refer to mass : A physical quality that inheres in a bearer by virtue of the proportion of the bearer's amount of matter.
TO:0000748,http://purl.obolibrary.org/obo/TO_0000748,leaf morphology trait,,A phyllome morphology trait  which is quality of a leaf .
TO:0000741,http://purl.obolibrary.org/obo/TO_0000741,tuber morphology trait,,A plant axis morphology trait  which is quality of a tuber .
TO:0000740,http://purl.obolibrary.org/obo/TO_0000740,branch morphology trait,,A shoot axis morphology trait  which is a quality of a branch .
TO:0000742,http://purl.obolibrary.org/obo/TO_0000742,subterranean shoot axis tuber morphology trait,,A tuber morphology trait  which is a quality of a subterranean shoot axis tuber .|A subterranean shoot axis tuber  is found in plants such as yam (Dioscorea sp.) and potato (Solanum tuberosum).
TO:0000602,http://purl.obolibrary.org/obo/TO_0000602,total fat content,lipid content (related)|FATCN (related),The total fat or lipid content of present in the plant or the plant part such as seed.
TO:0000603,http://purl.obolibrary.org/obo/TO_0000603,magnesium to potassium content ratio,Magnesium to potassium ratio (related)|ratio of magnesium to potassium (related)|MGKCNRO (related),The ratio of total magnesium to potassium ion content measured in a plant or a plant part.
TO:0000609,http://purl.obolibrary.org/obo/TO_0000609,potassium content,,A mineral and ion content trait  which is the potassium cation  composition in a plant structure .
TO:0000606,http://purl.obolibrary.org/obo/TO_0000606,diastatic power,DIASPWR (related),"An assay to determine the joint action of alpha-amylase, beta-amylase and any other carbohydrate-degrading enzymes."
TO:0000608,http://purl.obolibrary.org/obo/TO_0000608,sodium content,,A mineral and ion content trait  which is the sodium cation  composition in a plant structure .
TO:0000601,http://purl.obolibrary.org/obo/TO_0000601,UV-B light sensitivity,UVBRS (related)|Ultraviolet-B resistance (related)|UV-B resistance (related)|Ultraviolet-A light sensitivity (related),Response shown by the plant in the presence of UV-B light stress.
TO:0000604,http://purl.obolibrary.org/obo/TO_0000604,fat and essential oil content,,Measures the fat and essential oil content in a plant or plant part.
TO:0000605,http://purl.obolibrary.org/obo/TO_0000605,hydrogen peroxide content,H2O2 content (related)|H2O2CN (related),An assay to determine the content of hydrogen peroxide or the peroxide reactive ions.
TO:0000600,http://purl.obolibrary.org/obo/TO_0000600,UV-A light sensitivity,Ultraviolet-A resistance (related)|UV-A resistance (related)|Ultraviolet-A light sensitivity (related)|UVARS (related),Response shown by the plant in the presence of UV-A light stress.
TO:0000607,http://purl.obolibrary.org/obo/TO_0000607,ash content,,The total mineral or ion content measured after drying and burning the plant or a plant part.
TO:0000483,http://purl.obolibrary.org/obo/TO_0000483,germinability at low temperature,germination ability at low temperature (related)|GERMABITMP (related),Measure of the seed's germination ability at sub-permissive temperature levels.
TO:0000485,http://purl.obolibrary.org/obo/TO_0000485,sterility related trait,,
TO:0000488,http://purl.obolibrary.org/obo/TO_0000488,seed composition quality trait,,
TO:0000482,http://purl.obolibrary.org/obo/TO_0000482,chemical stress sensitivity,,Response by the plant in terms of resistivity or senility to chemical stress.
TO:0000486,http://purl.obolibrary.org/obo/TO_0000486,seed color,SDCL (related),"A seed morphology trait  which is the color of a seed .|Refer to color : A composite chromatic quality composed of hue, saturation and intensity parts. In a seed this can be measured on the seed coat or the inside parts of a seed."
TO:0000481,http://purl.obolibrary.org/obo/TO_0000481,alkali sensitivity,ALKSN (related),Plant sensitivity to an alkali (pH>7) growth media.
TO:0000489,http://purl.obolibrary.org/obo/TO_0000489,carbohydrate composition related trait,,
TO:0000484,http://purl.obolibrary.org/obo/TO_0000484,seed shape,SDSHP (related),"A seed morphology trait  which is the shape of a seed .|Seed shape can be a component of seed quality . Refers to shape : A morphological quality inhering in a bearer by virtue of the bearer's ratios of distances between its features (points, edges, surfaces and also holes etc)."
TO:0000487,http://purl.obolibrary.org/obo/TO_0000487,endosperm color,ENDCL (related),"An endosperm morphology trait  which is the color of an endosperm .|Refer to color : A composite chromatic quality composed of hue, saturation and intensity parts."
TO:0000480,http://purl.obolibrary.org/obo/TO_0000480,nutrient sensitivity,nutrient deficiency (related),A growth media composition sensitivity  which is the plant's response to an excess or deficient amount of the macro or micronutrient in the growth medium (soil/culture media).
TO:0001047,http://purl.obolibrary.org/obo/TO_0001047,lead content trait,Pb content (exact),A mineral and ion content trait  which is the lead cation  composition in a plant structure .
TO:0001048,http://purl.obolibrary.org/obo/TO_0001048,silicon content trait,Si content (exact),A mineral and ion content trait  which is the silicon cation  composition in a plant structure .
TO:0001042,http://purl.obolibrary.org/obo/TO_0001042,root quality trait,,A plant quality trait  which is the quality of roots .
TO:0001043,http://purl.obolibrary.org/obo/TO_0001043,barium content trait,Ba content (exact),A mineral and ion content trait  which is the barium cation  composition in a plant structure .
TO:0001044,http://purl.obolibrary.org/obo/TO_0001044,cobalt content trait,Co content (exact),A mineral and ion content trait  which is the cobalt cation  composition in a plant structure .
TO:0001045,http://purl.obolibrary.org/obo/TO_0001045,chromium content trait,Cr content (exact),A mineral and ion content trait  which is the chromium cation  composition in a plant structure .
TO:0001049,http://purl.obolibrary.org/obo/TO_0001049,rubidium content trait,Rb content (exact),A mineral and ion content trait  which is the rubidium cation  composition in a plant structure .
TO:0001041,http://purl.obolibrary.org/obo/TO_0001041,root yield,,A yield trait  which is the yield of roots .
TO:0001046,http://purl.obolibrary.org/obo/TO_0001046,iodine content trait,I content (exact),A mineral and ion content trait  which is the iodine cation  composition in a plant structure .
TO:0000565,http://purl.obolibrary.org/obo/TO_0000565,spikelets per panicle length,spikelet number per panicle length (related)|number of spikelets per cm panicle length (related)|SPKPPNLG (related),Number of spikelets present in the rice panicle per unit length.
TO:0000560,http://purl.obolibrary.org/obo/TO_0000560,space per culm,SPPCULM (related)|tiller volume (related),Space occupied by each culm or the tiller in a plant.
TO:0000561,http://purl.obolibrary.org/obo/TO_0000561,space to culm ratio,SPCULMRO (related),A ratio of total space or volume occupied by the whole plant to the total number of culms or tiller in the plant.
TO:0000563,http://purl.obolibrary.org/obo/TO_0000563,spikelet length to width ratio,SPKLGWDRO (related),A spikelet morphology trait  which is the ratio of length to the width of a spikelet .|Refer to length : A 1-D extent quality which is equal to the distance between two points.Refer to width : A 1-D extent quality which is equal to the distance from one side of an object to another side which is opposite.
TO:0000564,http://purl.obolibrary.org/obo/TO_0000564,spikelet width,SPKWD (related),A spikelet morphology trait  which is the width of the spikelets  present in a grass inflorescence.|Refer to width : A 1-D extent quality which is equal to the distance from one side of an object to another side which is opposite.
TO:0000568,http://purl.obolibrary.org/obo/TO_0000568,shoot axis weight,SHWT (related)|total shoot weight (related),Weight of the shoot without inflorescence.
TO:0000569,http://purl.obolibrary.org/obo/TO_0000569,white-backed planthopper egg mortality,WBPHOVI (related)|WBPH egg mortality (related),
TO:0000562,http://purl.obolibrary.org/obo/TO_0000562,specific leaf area,SLA (related)|SLFAR (related)|leaf specific area (exact),A leaf area trait  that is the ratio of the leaf area to the leaf weight .
TO:0000567,http://purl.obolibrary.org/obo/TO_0000567,tiller angle,TIAG (related),
TO:0000566,http://purl.obolibrary.org/obo/TO_0000566,leaf stomatal complex frequency,STOFQ (related),A vascular leaf morphology trait  which is the number of leaf stomatal complexes  present on the leaf surface.
TO:0002743,http://purl.obolibrary.org/obo/TO_0002743,dehulled grain volume,DHULGRVOL (exact),A grain volume  which is the volume of a dehulled grain.|Refer to volume : A 3-D extent quality inhering in a bearer by virtue of the bearer's amount of 3-dimensional space it occupies.
TO:0002742,http://purl.obolibrary.org/obo/TO_0002742,fruit volume,,A fruit morphology trait  which is the volume of the fruit .|Refer to volume : A 3-D extent quality inhering in a bearer by virtue of the bearer's amount of 3-dimensional space it occupies.
TO:0002745,http://purl.obolibrary.org/obo/TO_0002745,grain curved length,DHULGRCURVLG (related)|dehulled-grain curved length (exact)|curved length of dehulled-grain (exact),A grain length  which is the curved surface of grain without hull (dehulled).|Refer to length : A 1-D extent quality which is equal to the distance between two points.
TO:0002747,http://purl.obolibrary.org/obo/TO_0002747,10-dehulled grain weight,ten grain weight (broad)|TENGRWT (broad)|10 grain weight (broad)|TENDHULGRWT (exact)|ten dehulled grain weight (exact),A dehulled grain weight  which is the weight of a sample of 10 dehulled grains (caryopsis fruit; .
TO:0002744,http://purl.obolibrary.org/obo/TO_0002744,fruit curved length,,A fruit length  which is the average length of the curved surface of fruit .|Refer to length : A 1-D extent quality which is equal to the distance between two points.
TO:0002740,http://purl.obolibrary.org/obo/TO_0002740,TO_0002740,,
TO:0002741,http://purl.obolibrary.org/obo/TO_0002741,grain surface area,DHULGRSURFAR (related)|GRSURFAR (related)|kernel surface area (related)|dehulled-grain surface area (related)|hulled-grain surface area (related),The average surface area of the grain without hull (dehulled) in a grass fruit caryopsis.
TO:0002746,http://purl.obolibrary.org/obo/TO_0002746,fruit weight,,"A fruit morphology trait  that is the weight of a fruit .|Fruit weight is the weight of one or more fruits at a specified level of maturity and, for grain, moisture level. In maize it is often reported as 100 or 1000 kernel weight, in grams and at 15% moisture content."
TO:0002748,http://purl.obolibrary.org/obo/TO_0002748,ligule morphology trait,,A vascular leaf morphology trait  which is a quality of a ligule .
TO:0002749,http://purl.obolibrary.org/obo/TO_0002749,ligule pubescence,LIGPUBES (related),A ligule morphology trait  which is the extent of pubescence (presence of hairs) on the ligule .|Refer to pubescent hair : A pilosity quality of being covered with short hairs or soft down.
TO:0000378,http://purl.obolibrary.org/obo/TO_0000378,leaf scald disease resistance,LSc (related)|LFSRS (related),"Causal agent: Monographella albescens (Microdochium oryzae). Symptoms: the lesions occurs mostly near leaf tips, but sometimes start at the margin of the blade and develops into large ellipsoid areas encircled by dark-brown, narrow bands accompanied by a light-brown halo."
TO:0000373,http://purl.obolibrary.org/obo/TO_0000373,inflorescence morphology trait,Head morphology trait (narrow)|inflorescence structure trait (related),A reproductive shoot system morphology trait  that is a quality of an inflorescence .
TO:0000377,http://purl.obolibrary.org/obo/TO_0000377,cooked grain elongation,cooked kernel elongation (related)|CKKEL (related),
TO:0000371,http://purl.obolibrary.org/obo/TO_0000371,yield trait,YLD (related),A plant trait  which is a harvestable product that is a plant anatomical entity  or one or more constituent cellular components  contained therein.
TO:0000375,http://purl.obolibrary.org/obo/TO_0000375,brown rice length to width ratio,BRWRRO (related)|brown rice length to width ratio (related),A grain length to width ratio  which is determined from grain length and grain width on dehulled unpolished rice grain.|Refer to width : A 1-D extent quality which is equal to the distance from one side of an object to another side which is opposite. Refer to length : A 1-D extent quality which is equal to the distance between two points. Refer to size : A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude. Size categories ranging from small to medium to large.
TO:0000374,http://purl.obolibrary.org/obo/TO_0000374,breakdown viscosity,BRKVIS (related),"A cooking quality trait that is the tendency of gelatinized starch granules to break during cooking, especially at high temperature.|Breakdown is usually associated with the tendency of gelatinized starch granules to break during holding at high temperature, accompanied with continuous shearing (Han and Hamaker 2001). Breakdown is usually calculated from a resulting viscogram by subtracting trough from peak viscosity. The increase in rice flour breakdown viscosity, although not always significant, suggests a greater protection of the starch granule integrity. This probably is due to the increased affinity of proteins to interact with starch, as a result of protein denaturation. The resulting formation of protein-starch complexes tends to increase rice flour peak viscosity."
TO:0000370,http://purl.obolibrary.org/obo/TO_0000370,leaf width,LW (related)|LFWD (related)|lfwid (related),"A leaf morphology trait  which is the width of a leaf .|Actual measurements, in centimeters of the widest portion of the leaf. To be precise use the children terms leaf lamina width  or  'leaf sheath width . Refers to width  A 1-D extent quality which is equal to the distance from one side of an object to another side which is opposite. If you are annotating to this term, please add an additional annotation to vascular leaf morphology  or non-vascular leaf morphology trait , depending on the species."
TO:0000379,http://purl.obolibrary.org/obo/TO_0000379,cool paste viscosity,CPVIS (related),
TO:0000372,http://purl.obolibrary.org/obo/TO_0000372,amylose to amylopectin ratio,AMYAMYPCTRO (related),Ratio of amount of amylose to amylopectin content.
TO:0000376,http://purl.obolibrary.org/obo/TO_0000376,consistency viscosity,CONVIS (related),
TO:0000976,http://purl.obolibrary.org/obo/TO_0000976,ear infructescence morphology trait,,An infructescence morphology trait  which is a quality of the ear infructescence .
TO:0000975,http://purl.obolibrary.org/obo/TO_0000975,grain width,kernel width (exact)|caryopsis width (exact),A caryopsis fruit morphology trait  which is the width of a grain .
TO:0000978,http://purl.obolibrary.org/obo/TO_0000978,glume shape,,A glume morphology trait  with is the shape of a glume .
TO:0000970,http://purl.obolibrary.org/obo/TO_0000970,panicle density,,An inflorescence density  trait which is a quality of a panicle inflorescence .
TO:0000973,http://purl.obolibrary.org/obo/TO_0000973,spikelet rachilla shape,rachilla shape (broad),An inflorescence branch morphology trait  which is the shape of a spikelet rachilla .
TO:0000972,http://purl.obolibrary.org/obo/TO_0000972,spikelet rachilla length,rachilla length  (broad),An inflorescence branch morphology trait  which is the length of a spikelet rachilla .
TO:0000971,http://purl.obolibrary.org/obo/TO_0000971,inflorescence hairiness,head hairiness (narrow),An inflorescence morphology trait  which is the presence or absence of hairs on an inflorescence .
TO:0000979,http://purl.obolibrary.org/obo/TO_0000979,involucre morphology trait,,A collective phyllome structure morphology trait  that is a quality of an involucre .
TO:0000977,http://purl.obolibrary.org/obo/TO_0000977,leaf foliage rating,,"A leaf area trait  that is the size of the total surface area of a leaf .|Comment: rating scale of  3, small; 5, intermediate; 7 large"
TO:0000974,http://purl.obolibrary.org/obo/TO_0000974,spikelet rachilla hair type,rachilla hair type  (broad),An inflorescence branch morphology trait  which is the pubescence of a spikelet rachilla .
TO:0000989,http://purl.obolibrary.org/obo/TO_0000989,epicormic shoot system morphology trait,,A shoot-borne shoot system morphology trait  that is a quality of an epicormic shoot system .
TO:0000985,http://purl.obolibrary.org/obo/TO_0000985,root system morphology trait,,A collective plant organ structure morphology trait  which is a quality of a root system .
TO:0000986,http://purl.obolibrary.org/obo/TO_0000986,staminate flower number trait,male flower number trait (exact),A flower number trait  which is the number of staminate flowers .
TO:0000988,http://purl.obolibrary.org/obo/TO_0000988,shoot-borne shoot system morphology trait,,A shoot system morphology trait  that is a quality of a shoot-borne shoot system .
TO:0000980,http://purl.obolibrary.org/obo/TO_0000980,plant embryo cotyledon color,plant embryo cotyledon colour (exact),A plant embryo cotyledon morphology trait  which is the color of the plant embryo cotyledon .
TO:0000987,http://purl.obolibrary.org/obo/TO_0000987,pistillate flower number trait,female flower number trait (exact),A flower number trait  which is the number of pistillate flowers .
TO:0000206,http://purl.obolibrary.org/obo/TO_0000206,leaf angle,LBP (related)|LFAG (related),"A leaf attitude  which is  the angle of a leaf  measured against the stem.|In rice, it is measured against the culm on the leaf below the flag leaf. Refer to angle value ."
TO:0000203,http://purl.obolibrary.org/obo/TO_0000203,rice bacterial leaf streak disease resistance,BLS (related)|BLSRS (related),Causal agent: Xanthomonas oryzae pv. oryzicola.|Symptoms: linear lesions with small bacterial exudates evident. This scale may also be used for leaf smut caused by Entyloma oryzae.
TO:0000204,http://purl.obolibrary.org/obo/TO_0000204,rice seedling blight disease resistance,leaf blight (related)|kresek (related)|SDLBTRS (related),"A rice bacterial blight disease resistance  that is involved in the response to rice bacterial blight disease, on a seedling. Causal agent: Xanthomonas oryzae pv. oryzae. Causal agent: Xanthomonas oryzae pv. oryzae.|Symptoms: lesions usually start near the leaf tips or leaf margins or both, and extend down the outer edge(s). Young lesions are pale to grayish green, later turning yellow to grey (dead) with time. In very susceptible varieties, lesions may extend to the entire leaf length into the leaf sheath. Kresek or seedling blight causes wilting and death of plant."
TO:0000201,http://purl.obolibrary.org/obo/TO_0000201,panicle inflorescence color,PNCL (related),"A panicle inflorescence morphology trait  which is the variation in color of the panicle inflorescence .|Refer to color : A composite chromatic quality composed of hue, saturation and intensity parts."
TO:0000207,http://purl.obolibrary.org/obo/TO_0000207,plant height,shoot height (related)|Ht (related)|PTHT (related),A whole plant morphology trait  which is the height of a whole plant .|Comment: Refers to: height (PATO_0000119): A 1-D extent quality inhering in a bearer by virtue of the bearer's vertical dimension of extension.
TO:0000200,http://purl.obolibrary.org/obo/TO_0000200,brittle culm,,A stem strength  trait which a measure of the fragility of a grass stem (culm; .
TO:0000205,http://purl.obolibrary.org/obo/TO_0000205,white-backed planthopper resistance,WBPH (related)|WBPHRS (related),Causal agent: Sagotella furcifera. Symptoms: partial to pronounced yellowing and increasing severity of stunting. Extreme signs are wilting and death of plants. Infested areas in the field may be patchy. (similar to the symptoms of whitebacked planthopper).
TO:0000209,http://purl.obolibrary.org/obo/TO_0000209,palea number,PALNB (related),A spikelet floret morphology trait  which is the number of  palea  in a spikelet floret .
TO:0000202,http://purl.obolibrary.org/obo/TO_0000202,germination ratio,GERMRO (related),Ratio of germinated to non-germinated seeds.
TO:0000208,http://purl.obolibrary.org/obo/TO_0000208,lemma number,,A spikelet floret morphology trait  which is the number of lemma  in a spikelet floret .
TO:0001066,http://purl.obolibrary.org/obo/TO_0001066,number of metaxylem vessels,,A vascular tissue morphology trait (TO_0000470) which is the number of metaxylem vessels .|The number of metaxylem vessels  may be counted in a cross section of a primary xylem .
TO:0001063,http://purl.obolibrary.org/obo/TO_0001063,panicle inflorescence internode length,,A panicle inflorescence morphology trait  which is the length of the inflorescence axis internodes  in a panicle inflorescence .
TO:0001065,http://purl.obolibrary.org/obo/TO_0001065,panicle inflorescence terminal primary branch length,,A panicle inflorescence morphology trait  which is the length of a terminal primary branch in a panicle inflorescence .
TO:0001064,http://purl.obolibrary.org/obo/TO_0001064,number of panicle inflorescence branches per internode,,A panicle inflorescence morphology trait  which is the average number of branches per inflorescence axis internode  in a panicle inflorescence .
TO:0001067,http://purl.obolibrary.org/obo/TO_0001067,days to booting,,A flowering time trait  which is the length of time for a plant or group of plants to reach booting stage .
TO:0001062,http://purl.obolibrary.org/obo/TO_0001062,number of panicle internodes,,A panicle inflorescence morphology trait  which is the number of inflorescence axis internodes  in a panicle inflorescence .
TO:0001069,http://purl.obolibrary.org/obo/TO_0001069,cooking quality trait,,"A processing quality trait  that is the utility of a plant, plant structure  or plant product for a food cooking process (FOODON:03450002)."
TO:0001061,http://purl.obolibrary.org/obo/TO_0001061,inflorescence axis thickness,rachis thickness (exact),An inflorescence axis morphology trait  which is the thickness of an inflorescence axis .
TO:0001068,http://purl.obolibrary.org/obo/TO_0001068,processing quality trait,,"A plant quality trait  that is the utility of a plant, plant structure  or plant product for post-harvest chemical, biological or mechanical transformation into a desired end product."
TO:0001060,http://purl.obolibrary.org/obo/TO_0001060,subterranean shoot axis tuber width,,A subterranean shoot axis tuber morphology trait  which is the width of a subterranean shoot axis tuber .|Refers to width .
TO:0000350,http://purl.obolibrary.org/obo/TO_0000350,cms-hl type,HLCMS (related)|CMS-HL (related),Abortion of microspore development at bi-nucleate stage.
TO:0000357,http://purl.obolibrary.org/obo/TO_0000357,plant growth and development trait,,A plant trait  which is the growth  and development  of a plant anatomical entity  or a constituent cellular component .|Growth and development traits are qualities of the development of the whole plant or plant parts.
TO:0000354,http://purl.obolibrary.org/obo/TO_0000354,aluminum sensitivity,ALSN (related)|aluminum toxicity (related)|aluminium sensitivity (exact),Sensitivity to aluminum content in the growth media.
TO:0000351,http://purl.obolibrary.org/obo/TO_0000351,zinc sensitivity,zinc deficiency (related)|PDef (related)|ZNSN (related),"Sensitivity to the zinc content in the growth medium. It acts as cofactor for certain enzymes like Class II aldolases, metalloproteases, alkaline phosphatase, etc."
TO:0000356,http://purl.obolibrary.org/obo/TO_0000356,brown spot disease resistance,BS (related),"Causal agent: Cochliobolus miyabeanus (Bipolaris oryzae, Drechslera oryzae). Symptom: typical leaf spots are small, oval or circular and dark brown. Larger lesions usually have same color on the edges but have a pale (usually grayish) center. Most spots have a light yellow halo around the outer edge."
TO:0000358,http://purl.obolibrary.org/obo/TO_0000358,female sterility,FEMST (related),
TO:0000359,http://purl.obolibrary.org/obo/TO_0000359,female flowering,Female flower anthesis (related)|Female flower flowering (related)|days to silk (related)|FEMFLW (related)|DTSLK (related)|FFLW (related),"A flowering time trait which is the timing of the flowering (anthesis) of female flowers.|Ofetn influenced by the environemnt that includes, day light, temperature and geographic location."
TO:0000353,http://purl.obolibrary.org/obo/TO_0000353,aborted at pollen maturity stage,PMTABR (related),"Abortion at later stage of microspore development, the pollen looks like fertile pollen."
TO:0000355,http://purl.obolibrary.org/obo/TO_0000355,heterosis,hybrid vigor (related)|heterosis in f1 hybrid (related)|HET (related),"Exceptional vigor of growth etc. in plants or in animal, resulting from cross breeding among inter or intra species."
TO:0000352,http://purl.obolibrary.org/obo/TO_0000352,plant dry weight,PTDWT (related)|dry mass (related)|RTWT (related)|DMASS (related)|total dry mass (related),The dry weight of the whole plant.
TO:0000436,http://purl.obolibrary.org/obo/TO_0000436,spikelet sterility,SPKST (related),Determined by counting the filled and unfilled spikelets of the bagged grass inflorescence.
TO:0000435,http://purl.obolibrary.org/obo/TO_0000435,seed longevity,SDLNG (related),
TO:0000433,http://purl.obolibrary.org/obo/TO_0000433,ear diameter,EARDIA (related)|eard (related)|ear infructescence diameter (exact),"An ear infructescence morphology trait  that is the diameter of an ear infructescence .|Refers to diameter : A length quality which is equal to the length of any straight line segment that passes through the center of a circle and whose endpoints are on the circular boundary. In maize, this is measured in centimeters."
TO:0000431,http://purl.obolibrary.org/obo/TO_0000431,ear length,earln (related)|EARLG (related)|ear infructescence length (exact),"An ear infructescence morphology trait  that is the length of an ear infructescence  from base to tip.|Refers to length : A 1-D extent quality which is equal to the distance between two points. In maize, this is measured in centimeters."
TO:0000434,http://purl.obolibrary.org/obo/TO_0000434,root activity,RTACT (related),
